barcode,artista,titolo,compositore,catalogo,casa,etichetta,supporto,n.supporti,datauscita,prezzo,Ordinato,Preparato
0194398846811,"CARRA', RAFFAELLA",RAFFAELLA - (VINILE 140GR ROSA),-,19439884681,SONY,RCA RECORDS LABEL,LP,1,17/09/2021,"16,05",1,0
0194399338711,"CARRA', RAFFAELLA",RAFFAELLA CARRÀ - COLORATO RED,-,19439933871,SONY,RCA RECORDS LABEL,LP,1,17/09/2021,"16,05",1,0
0194399338810,"CARRA', RAFFAELLA",RAFFAELLA - COLORATO YELLOW,-,19439933881,SONY,RCA RECORDS LABEL,LP,1,17/09/2021,"16,05",1,0
0602435564791,CHEMICAL BROTHERS THE,THE DARKNESS (RSD 21),-,3556479,UNIVERSAL,IMS-EMI,EP,1,11/06/2021,"11,02",1,0
0194398441719,CLASH THE,IF MUSIC COULD TALK - RSD 2021,-,19439844171,SONY,SONY MUSIC - RSD 2021,LP,2,17/07/2021,"20,33",1,0
0888751127012,CLASH THE,LONDON CALLING,-,88875112701,SONY,SONY,LP,2,28/08/2015,"15,52",1,0
0190296666964,COLDPLAY,MUSIC OF THE SPHERES - LP 180 GR.,-,190296666964,WARNER,COLDPLAY PLG 3P LP9,LP,1,15/10/2021,"18,73",2,0
0190296666988,COLDPLAY,MUSIC OF THE SPHERES,-,190296666988,WARNER,COLDPLAY PLG 3P LP9,CD,1,15/10/2021,"12,71",4,0
0889397577261,COLE NAT KING,UNFORGETTABLE,-,DOS726H,GOODFELLAS,DOL,LP,1,08/03/2017,"11,62",1,0
0600753932261,CRANBERRIES,STARS 2LP COLORED VINYL,-,5393226,UNIVERSAL,UNIVERSAL RSD 2021,LP,2,17/07/2021,"22,58",1,0
